Column1,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,MONTH
99,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25-02-2021 20:02,GIF,cooking,positive,30,2
100,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,02-05-2021 03:45,GIF,cooking,negative,5,5
101,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28-01-2021 08:49,GIF,cooking,positive,70,1
102,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,15-02-2021 13:06,GIF,cooking,neutral,35,2
103,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04-11-2020 21:25,GIF,cooking,negative,10,11
104,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23-06-2020 22:12,GIF,cooking,positive,65,6
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,16-02-2021 04:01,GIF,cooking,positive,70,2
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,03-01-2021 08:44,GIF,cooking,positive,30,1
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25-11-2020 12:45,GIF,cooking,positive,72,11
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,03-12-2020 16:47,GIF,cooking,positive,50,12
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,22-05-2021 21:03,GIF,cooking,positive,50,5
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,18-01-2021 13:39,GIF,cooking,positive,70,1
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,06-01-2021 00:35,GIF,cooking,neutral,20,1
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14-05-2021 14:33,GIF,cooking,positive,72,5
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,27-05-2021 15:21,GIF,cooking,negative,12,5
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,21-07-2020 02:12,GIF,cooking,neutral,35,7
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,26-05-2021 06:09,GIF,cooking,negative,10,5
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,25-02-2021 03:16,GIF,cooking,negative,10,2
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,07-12-2020 22:50,GIF,cooking,positive,45,12
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,24-10-2020 14:06,GIF,cooking,neutral,20,10
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,01-09-2020 21:18,GIF,cooking,neutral,35,9
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10-05-2021 22:07,GIF,cooking,positive,72,5
121,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,12-02-2021 16:37,video,dogs,positive,70,2
122,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,28-04-2021 15:22,video,dogs,positive,60,4
123,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,24-01-2021 00:38,video,dogs,positive,45,1
124,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,18-03-2021 01:53,video,dogs,negative,12,3
125,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,14-01-2021 07:21,video,dogs,negative,0,1
126,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,23-12-2020 04:11,video,dogs,positive,60,12
127,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,21-05-2021 07:23,video,dogs,negative,5,5
128,3f8590c7-6ab2-4973-805a-90cdec355f05,like,28-03-2021 23:25,video,dogs,positive,50,3
129,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,16-09-2020 07:33,video,dogs,neutral,35,9
130,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,08-11-2020 10:53,video,dogs,neutral,20,11
131,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,06-03-2021 05:23,video,dogs,positive,60,3
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,13-01-2021 23:35,video,dogs,negative,0,1
133,3f8590c7-6ab2-4973-805a-90cdec355f05,want,06-09-2020 22:35,video,dogs,positive,70,9
134,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,24-06-2020 09:31,video,dogs,positive,30,6
135,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,07-02-2021 21:39,video,dogs,negative,5,2
136,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,21-01-2021 18:28,video,dogs,positive,45,1
137,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,27-02-2021 00:21,video,dogs,negative,10,2
138,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,22-08-2020 12:06,video,dogs,negative,12,8
139,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,03-08-2020 06:29,video,dogs,positive,70,8
140,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-08-2020 06:20,video,dogs,negative,15,8
141,3f8590c7-6ab2-4973-805a-90cdec355f05,want,04-06-2021 04:57,video,dogs,positive,70,6
142,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,21-10-2020 09:07,video,dogs,positive,75,10
143,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,26-12-2020 19:46,video,dogs,negative,10,12
144,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-03-2021 22:47,video,dogs,negative,15,3
145,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,31-03-2021 09:48,video,dogs,neutral,20,3
146,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,14-06-2021 13:44,video,dogs,positive,30,6
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,27-12-2020 17:04,video,dogs,negative,15,12
148,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11-02-2021 03:51,video,dogs,negative,15,2
149,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,07-12-2020 19:07,video,dogs,positive,30,12
150,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,28-12-2020 08:31,video,dogs,positive,30,12
151,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,26-10-2020 05:27,video,dogs,positive,30,10
152,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,26-09-2020 18:43,video,dogs,negative,12,9
153,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,25-11-2020 13:01,video,dogs,negative,15,11
154,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11-07-2020 05:51,video,dogs,positive,60,7
155,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,19-03-2021 16:23,video,dogs,positive,60,3
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,11-10-2020 18:31,video,dogs,positive,30,10
157,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,02-11-2020 20:15,video,dogs,positive,60,11
158,3f8590c7-6ab2-4973-805a-90cdec355f05,want,01-10-2020 03:35,video,dogs,positive,70,10
159,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,11-02-2021 20:10,video,dogs,negative,0,2
160,3f8590c7-6ab2-4973-805a-90cdec355f05,want,07-02-2021 15:59,video,dogs,positive,70,2
161,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,17-10-2020 11:46,video,dogs,negative,5,10
162,3f8590c7-6ab2-4973-805a-90cdec355f05,like,09-08-2020 19:41,video,dogs,positive,50,8
163,3f8590c7-6ab2-4973-805a-90cdec355f05,love,01-02-2021 02:40,video,dogs,positive,65,2
164,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,30-01-2021 09:36,video,dogs,positive,72,1
165,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,31-03-2021 15:24,video,technology,positive,70,3
166,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,05-02-2021 17:00,video,technology,positive,75,2
167,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,19-02-2021 16:29,video,technology,positive,60,2
168,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,25-07-2020 00:00,video,technology,negative,12,7
169,0bedca96-fb76-4287-a83c-17330ed39cce,adore,13-07-2020 02:38,photo,soccer,positive,72,7
170,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,13-01-2021 13:11,photo,soccer,neutral,20,1
171,0bedca96-fb76-4287-a83c-17330ed39cce,worried,02-01-2021 16:46,photo,soccer,negative,12,1
172,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,26-11-2020 02:25,photo,soccer,positive,45,11
173,0bedca96-fb76-4287-a83c-17330ed39cce,want,25-08-2020 19:18,photo,soccer,positive,70,8
174,0bedca96-fb76-4287-a83c-17330ed39cce,hate,01-02-2021 00:15,photo,soccer,negative,5,2
175,0bedca96-fb76-4287-a83c-17330ed39cce,love,04-06-2021 14:36,photo,soccer,positive,65,6
176,0bedca96-fb76-4287-a83c-17330ed39cce,adore,19-08-2020 13:38,photo,soccer,positive,72,8
177,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,22-04-2021 02:08,photo,soccer,positive,70,4
178,0bedca96-fb76-4287-a83c-17330ed39cce,super love,26-06-2020 10:33,photo,soccer,positive,75,6
179,0bedca96-fb76-4287-a83c-17330ed39cce,like,15-08-2020 18:16,photo,soccer,positive,50,8
180,0bedca96-fb76-4287-a83c-17330ed39cce,love,26-11-2020 13:42,photo,soccer,positive,65,11
181,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,14-04-2021 00:56,photo,public speaking,positive,70,4
182,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,21-07-2020 21:27,photo,public speaking,neutral,20,7
183,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,29-03-2021 06:57,photo,public speaking,negative,10,3
184,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,20-05-2021 16:11,photo,public speaking,positive,70,5
185,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,02-11-2020 06:09,photo,public speaking,positive,50,11
186,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,24-10-2020 15:37,photo,public speaking,neutral,20,10
187,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,07-09-2020 14:42,photo,public speaking,positive,60,9
188,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,04-03-2021 02:46,photo,public speaking,negative,15,3
189,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,07-01-2021 14:08,photo,public speaking,positive,72,1
190,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,06-07-2020 11:18,photo,public speaking,neutral,35,7
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,27-03-2021 04:56,photo,public speaking,positive,50,3
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21-11-2020 21:25,photo,public speaking,positive,45,11
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,22-08-2020 01:25,photo,public speaking,positive,70,8
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,14-06-2021 11:45,photo,public speaking,neutral,35,6
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,15-07-2020 19:28,photo,public speaking,negative,12,7
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,21-03-2021 14:39,photo,public speaking,positive,45,3
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,07-04-2021 03:15,photo,public speaking,positive,75,4
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,24-04-2021 06:56,photo,public speaking,positive,70,4
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,30-09-2020 14:05,photo,public speaking,positive,60,9
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,19-07-2020 19:28,photo,public speaking,positive,60,7
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,21-01-2021 07:08,photo,public speaking,negative,15,1
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,31-01-2021 13:48,photo,public speaking,negative,15,1
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,24-12-2020 03:24,photo,public speaking,negative,5,12
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,27-05-2021 01:44,photo,public speaking,negative,0,5
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,13-02-2021 04:14,photo,public speaking,negative,0,2
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,14-07-2020 04:36,photo,public speaking,positive,72,7
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,15-07-2020 16:03,photo,public speaking,negative,10,7
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,08-10-2020 17:23,photo,public speaking,positive,50,10
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,12-11-2020 23:55,photo,public speaking,positive,60,11
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,21-02-2021 05:01,photo,public speaking,positive,70,2
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,09-07-2020 08:58,photo,public speaking,positive,45,7
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,26-06-2020 23:45,photo,public speaking,positive,72,6
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,20-11-2020 13:18,photo,public speaking,negative,12,11
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,29-05-2021 21:34,photo,public speaking,positive,50,5
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,22-02-2021 02:48,photo,public speaking,neutral,20,2
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,07-01-2021 18:39,photo,public speaking,negative,15,1
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,01-10-2020 15:10,photo,public speaking,positive,72,10
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,21-11-2020 08:24,photo,public speaking,negative,5,11
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15-04-2021 13:50,photo,public speaking,negative,15,4
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,30-06-2020 01:14,photo,public speaking,positive,65,6
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,01-12-2020 15:06,photo,public speaking,positive,70,12
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,07-11-2020 00:47,photo,public speaking,negative,15,11
223,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,30-06-2020 13:08,GIF,science,positive,75,6
224,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,04-08-2020 03:09,GIF,science,positive,60,8
225,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,28-07-2020 07:01,GIF,science,positive,45,7
226,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,25-10-2020 02:39,GIF,science,positive,75,10
227,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,05-07-2020 03:37,GIF,science,negative,12,7
228,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,28-04-2021 15:16,GIF,science,positive,70,4
229,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,31-01-2021 00:54,GIF,science,neutral,20,1
230,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,29-08-2020 11:37,GIF,science,positive,72,8
231,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,15-10-2020 12:09,GIF,science,positive,45,10
232,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,02-08-2020 21:20,GIF,science,positive,65,8
233,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,31-10-2020 21:46,GIF,science,negative,15,10
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,12-10-2020 09:40,GIF,science,positive,60,10
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,12-12-2020 12:22,GIF,science,positive,70,12
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,09-01-2021 16:37,GIF,science,positive,50,1
237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,hate,23-08-2020 04:39,GIF,science,negative,5,8
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,22-12-2020 04:20,GIF,science,positive,65,12
239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,07-11-2020 08:49,GIF,science,negative,0,11
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,17-04-2021 22:45,GIF,science,positive,72,4
241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,21-04-2021 00:21,GIF,science,negative,15,4
